763,TFSI,136
764,HL,138
765,Vanden Plas,138
766,LX,140
767,Knightsbridge,141
768,1275 GT,142
769,City,142
770,City E,142
771,Clubman,142
772,HL,142
773,Mayfair,142
774,R,151
775,RL,151
776,Red Label,151
777,T,151
778,V8,151
779,Final Series,152
780,Mulliner,152
781,T,152
782,A,153
783,Azure,153
784,Azure EWB,153
785,Base,153
786,First Edition,153
787,Mulliner,153
788,S,153
789,S Black Edition,153
790,Speed,153
791,TFSi V6,153
792,V8,153
793,W12,153
794,d V8,153
795,FlexFuel,155
796,Flying Spur,155
797,Flying Spur Speed,155
798,Flying Spur Speed Series 51,155
799,GT,155
800,GT Azure,155
801,GT First Edition,155
802,GT Mulliner,155
803,GT S,155
804,GT Speed,155
805,GT Supersports,155
806,GTC,155
807,GTC First Edition,155
808,GTC S,155
809,GTC Speed,155
810,GTC Speed Edition 12,155
811,GTC Supersports,155
812,Le Mans Series,155
813,Mulliner GT,155
814,Mulliner R,155
815,R,155
816,Speed,155
817,Supersports,155
818,T,155
819,V8,155
820,V8 Ultra-Performance,155
821,W12,155
822,Azure,157
823,First Edition,157
824,Mulliner,157
825,PHEV,157
826,S,157
827,Speed,157
828,TFSi V6,157
829,V8,157
830,V8 Ultra-Performance,157
831,W12,157
832,S,159
833,Speed,159
834,V8,159
835,114d,165
836,114i,165
837,116d,165
838,116d ED,165
839,116i,165
840,118d,165
841,118i,165
842,120d,165
843,120i,165
844,123d,165
845,123i,165
846,125d,165
847,125i,165
848,128ti,165
849,130i,165
850,135i,165
851,BluePerformance,165
852,Championship Edition,165
853,ED Plus,165
854,ES,165
855,Edition ES,165
856,EfficientDynamics,165
857,EfficientDynamics Business,165
858,Exclusive Edition,165
859,M,165
860,M Sport,165
861,M Sport Shadow Edition,165
862,M135i,165
863,M140i,165
864,MHT,165
865,Performance Edition,165
866,SE,165
867,SE Business,165
868,Shadow Edition,165
869,Sport,165
870,Sport Plus Edition,165
871,Urban,165
872,218d,167
873,218i,167
874,220d,167
875,220i,167
876,225d,167
877,228i,167
878,230i,167
879,Luxury,167
880,M Sport,167
881,M235i,167
882,M240i,167
883,MHT,167
884,SE,167
885,Sport,167
886,216d,168
887,218d,168
888,218i,168
889,220d,168
890,220i,168
891,223i,168
892,225i,168
893,225xe,168
894,230xe,168
895,Luxury,168
896,M Sport,168
897,MHT,168
898,SE,168
899,Sport,168
900,218d,169
901,218i,169
902,220d,169
903,220i,169
904,223i,169
905,M Sport,169
906,M235i,169
907,MHT,169
908,Sport,169
909,216d,170
910,218d,170
911,218i,170
912,220d,170
913,220i,170
914,Luxury,170
915,M Sport,170
916,SE,170
917,Sport,170
918,316,171
919,316d,171
920,316i,171
921,316ti,171
922,318,171
923,318 M Sport,171
924,318 SE,171
925,318 Sport,171
926,318Ci,171
927,318d,171
928,318i,171
929,318ti,171
930,320,171
931,320 M Sport,171
932,320 M Sport Edition,171
933,320 SE,171
934,320 Sport,171
935,320Cd,171
936,320Ci,171
937,320d,171
938,320d ED,171
939,320i,171
940,320i ED,171
941,320si,171
942,323,171
943,323Ci,171
944,323i,171
945,325,171
946,325 M Sport,171
947,325 SE,171
948,325 Sport,171
949,325Ci,171
950,325d,171
951,325i,171
952,325tds,171
953,325ti,171
954,328,171
955,328Ci,171
956,328i,171
957,330,171
958,330 Clubsport,171
959,330 M Sport,171
960,330 SE,171
961,330 Sport,171
962,330Cd,171
963,330Ci,171
964,330d,171
965,330e,171
966,330i,171
967,335d,171
968,335i,171
969,340i,171
970,ActiveHybrid 3,171
971,Baur Conversion,171
972,BluePerformance,171
973,Design,171
974,ED Plus,171
975,ED Sport,171
976,ES,171
977,Edition ES,171
978,Edition M Sport,171
979,Edition SE,171
980,EfficientDynamics,171
981,EfficientDynamics Business,171
982,Exclusive Edition,171
983,Lux,171
984,Luxury,171
985,M Sport,171
986,M Sport Business Edition,171
987,M Sport Highline,171
988,M Sport Plus Edition,171
989,M Sport Pro Edition,171
990,M Sport Shadow Edition,171
991,M340d,171
992,M340i,171
993,MHT,171
994,Modern,171
995,Motorsport Limited Edition,171
996,Performance Edition,171
997,S,171
998,SE,171
999,SE Business Edition,171
1000,SE Highline,171
1001,SE Pro,171
1002,Sport,171
1003,Sport Plus Edition,171
1004,Sport Pro,171
1005,318d,172
1006,320d,172
1007,320i,172
1008,325d,172
1009,328i,172
1010,330d,172
1011,335d,172
1012,335i,172
1013,Luxury,172
1014,M Sport,172
1015,Modern,172
1016,SE,172
1017,Sport,172
1018,418d,173
1019,420d,173
1020,420i,173
1021,425d,173
1022,428i,173
1023,430d,173
1024,430i,173
1025,435d,173
1026,435i,173
1027,440i,173
1028,Luxury,173
1029,M Sport,173
1030,M Sport Pro Edition,173
1031,M440d,173
1032,M440i,173
1033,MHT,173
1034,Modern,173
1035,SE,173
1036,Sport,173
1037,418d,174
1038,420d,174
1039,420i,174
1040,428i,174
1041,430d,174
1042,430i,174
1043,435d,174
1044,435i,174
1045,440i,174
1046,Luxury,174
1047,M Sport,174
1048,M Sport Pro Edition,174
1049,M440i,174
1050,MHT,174
1051,SE,174
1052,Sport,174
1053,518d,175
1054,520d,175
1055,520d ED,175
1056,520i,175
1057,523i,175
1058,525d,175
1059,525i,175
1060,528i,175
1061,530d,175
1062,530e,175
1063,530i,175
1064,535d,175
1065,535i,175
1066,540i,175
1067,540i V8,175
1068,545e,175
1069,545i V8,175
1070,550e,175
1071,550i V8,175
1072,ActiveHybrid 5,175
1073,BluePerformance,175
1074,ES SE,175
1075,EfficientDynamics,175
1076,Luxury,175
1077,M Sport,175
1078,M Sport Business Edition,175
1079,M Sport Edition,175
1080,M Sport Pro,175
1081,M550i V8,175
1082,MHT,175
1083,Modern,175
1084,SE,175
1085,SE Business Edition,175
1086,Sport,175
1087,520d,176
1088,530d,176
1089,535d,176
1090,535i,176
1091,550i V8,176
1092,Executive,176
1093,Luxury,176
1094,M Sport,176
1095,SE,176
1096,630i,177
1097,635CSi,177
1098,635d,177
1099,640d,177
1100,640i,177
1101,645Ci V8,177
1102,650i V8,177
1103,Edition Sport,177
1104,M Sport,177
1105,SE,177
1106,Sport,177
1107,640d,178
1108,640i,178
1109,650i V8,178
1110,M Sport,178
1111,SE,178
1112,620d,179
1113,630d,179
1114,630i,179
1115,640i,179
1116,M Sport,179
1117,SE,179
1118,725Ld,180
1119,725d,180
1120,728i,180
1121,730Ld,180
1122,730d,180
1123,730i,180
1124,735Li V8,180
1125,735i,180
1126,740Ld,180
1127,740Le,180
1128,740Li,180
1129,740d,180
1130,740e,180
1131,740i,180
1132,745Le,180
1133,745e,180
1134,745i,180
1135,745i V8,180
1136,750Li V8,180
1137,750e,180
1138,750i,180
1139,750i V8,180
1140,760Li V12,180
1141,ActiveHybrid 7,180
1142,BluePerformance,180
1143,Excellence,180
1144,Exclusive,180
1145,L,180
1146,M Sport,180
1147,M Sport Exclusive,180
1148,M Sport Luxury Edition,180
1149,M760L V12,180
1150,M760e,180
1151,MHT,180
1152,SE,180
1153,SE Exclusive,180
1154,SE Luxury Edition,180
1155,Sport,180
1156,840Ci V8,181
1157,840d,181
1158,840i,181
1159,850CSi,181
1160,850Ci,181
1161,850i,181
1162,Ci,181
1163,Ci Sport,181
1164,First Edition,181
1165,M Sport,181
1166,M850i V8,181
1167,MHT,181
1168,840d,182
1169,840i,182
1170,M Sport,182
1171,M850i V8,182
1172,MHT,182
1173,BiTurbo,185
1174,S,185
1175,BiTurbo,186
1176,BiTurbo V8,187
1177,i V8,187
1178,V8,190
1179,Lux,191
1180,MHT,191
1181,S,191
1182,d,191
1183,d BiTurbo,191
1184,d BiTurbo,192
1185,d,193
1186,MHT ,196
1187,d,196
1188,d BiTurbo,196
1189,Fluid Grey Edition,198
1190,S,198
1191,35,199
1192,40,199
1193,M Sport,199
1194,M50,199
1195,Sport,199
